code_stock,year,predict_num,min_EPS,avg_EPS,max_EPS,avg_industry_EPS,min_RP,avg_RP,max_RP,avg_industry_RP
600522,2022,8,1.12,1.18,1.29,2.48,34.29,36.34,39.44,38.43
600535,2020,6,0.58,0.78,1.04,1.56,8.71,11.69,15.67,12.54
600535,2021,6,0.62,0.84,1.10,2.01,9.33,12.65,16.68,15.59
600535,2022,3,0.79,0.83,0.88,2.62,11.88,12.47,13.35,20.04
600547,2020,21,0.42,0.78,0.99,0.37,13.08,24.05,30.83,19.17
600547,2021,21,0.52,0.96,1.44,0.48,16.18,29.63,44.74,25.17
600547,2022,18,0.57,1.14,1.49,0.63,17.68,35.30,46.09,32.13
600566,2020,2,2.23,2.24,2.24,1.56,18.14,18.22,18.29,12.54
600566,2021,2,2.51,2.52,2.54,2.01,20.42,20.55,20.67,15.59
600566,2022,2,2.85,2.87,2.88,2.62,23.25,23.37,23.48,20.04
600570,2020,33,1.10,1.66,2.05,0.94,10.52,13.47,16.47,6.48
600570,2021,32,1.08,1.62,2.25,1.25,11.32,16.93,23.50,8.42
600570,2022,22,1.40,2.00,3.07,1.61,14.65,20.91,32.08,10.71
600583,2020,16,0.12,0.19,0.30,0.39,5.46,8.40,13.26,14.69
600583,2021,16,0.18,0.30,0.48,0.52,8.06,13.12,21.05,18.86
600583,2022,11,0.19,0.38,0.57,0.64,8.61,16.96,25.33,23.22
600585,2020,23,6.04,6.72,7.55,1.68,320.22,356.64,400.00,39.40
600585,2021,23,5.89,6.94,8.56,1.95,312.08,368.31,454.00,44.04
600585,2022,21,5.75,7.03,9.17,2.25,304.78,372.98,486.00,50.37
600588,2020,34,0.24,0.34,0.45,0.94,7.76,10.88,14.05,6.48
600588,2021,34,0.26,0.43,0.54,1.25,8.37,13.84,17.65,8.42
600588,2022,29,0.29,0.55,0.88,1.61,9.27,17.73,28.57,10.71
600606,2020,8,1.43,1.46,1.48,2.28,173.77,177.01,179.96,134.53
600606,2021,8,1.66,1.72,1.78,2.73,201.46,209.54,216.24,157.75
600606,2022,8,1.75,2.00,2.18,3.30,213.45,243.01,265.68,189.18
600637,2020,5,0.39,0.59,0.68,1.80,13.23,20.08,23.24,28.77
600637,2021,5,0.54,0.69,0.78,2.36,18.58,23.69,26.53,36.50
600655,2020,11,0.90,0.93,0.98,0.96,34.90,36.18,37.89,10.42
600655,2021,11,1.03,1.06,1.10,1.21,40.11,41.08,42.60,13.16
600655,2022,11,1.15,1.22,1.32,1.49,44.61,47.42,51.30,16.63
600660,2020,18,0.97,1.11,1.72,1.68,24.34,27.72,43.15,39.40
600660,2021,17,1.10,1.37,2.17,1.95,27.59,34.38,54.44,44.04
600660,2022,16,1.28,1.53,1.94,2.25,32.06,38.42,48.68,50.37
600663,2020,2,0.90,0.95,1.00,2.28,36.47,38.50,40.53,134.53
600663,2021,2,0.98,1.07,1.16,2.73,39.59,43.13,46.67,157.75
600663,2022,1,1.33,1.33,1.33,3.30,53.84,53.84,53.84,189.18
600674,2020,9,0.62,0.69,0.77,0.56,27.48,30.21,33.90,47.56
600674,2021,9,0.66,0.72,0.78,0.63,28.97,31.75,34.34,50.43
600674,2022,7,0.73,0.78,0.88,0.71,32.02,34.14,38.80,53.11
600690,2020,23,1.01,1.22,1.45,1.66,66.30,80.23,95.40,29.13
600690,2021,23,1.14,1.39,1.63,2.05,75.30,91.81,107.25,34.82
600690,2022,21,1.27,1.53,1.84,2.48,83.80,101.10,121.28,38.43
600703,2020,16,0.33,0.46,0.60,1.17,13.57,18.83,24.32,14.35
600703,2021,16,0.41,0.62,0.79,1.54,16.71,25.38,32.02,18.79
600703,2022,11,0.50,0.81,1.12,1.94,20.24,32.90,45.65,24.60
600705,2020,4,0.35,0.38,0.46,0.55,31.62,34.33,41.29,23.34
600705,2021,4,0.38,0.43,0.51,0.60,33.81,38.07,45.78,25.84
600705,2022,2,0.42,0.46,0.49,0.65,37.61,40.86,44.11,25.37
600741,2020,28,1.47,1.87,2.67,1.11,46.39,58.86,84.18,34.51
600741,2021,26,1.79,2.12,2.44,1.35,56.53,66.73,77.08,41.23
600741,2022,24,2.03,2.32,2.72,1.60,63.98,72.93,85.89,49.72
