code_stock,code_industry,pe_stock,pb_stock,pe_industry,pb_industry,date_time
601928,R85,13.29,1.2,15.51,1.35,2020-05-29
601958,B09,34.39,1.48,39.67,2.37,2020-05-29
601966,C29,12.99,1.99,29.08,2.63,2020-05-29
601969,B08,107.91,2.72,27.32,2.21,2020-05-29
601975,G55,8.24,2.23,13.23,1.1,2020-05-29
603000,I64,63.09,6.7,34.64,4.24,2020-05-29
603025,C39,29.77,4.08,41.54,3.93,2020-05-29
603056,G60,46.24,3.27,33.23,4.13,2020-05-29
603077,C26,31.06,1.03,23.35,2.06,2020-05-29
603198,C15,19.91,3.24,34.72,7.25,2020-05-29
603225,C28,11.78,1.15,13.75,2.1,2020-05-29
603228,C39,31,4.8,41.54,3.93,2020-05-29
603233,F52,55.57,9.36,21.46,1.78,2020-05-29
603256,C30,110.52,6.85,15.28,2.23,2020-05-29
603317,C14,98.95,15.07,45.97,6.56,2020-05-29
603328,C39,19.81,2.66,41.54,3.93,2020-05-29
603338,C35,44.94,9.64,38.13,3.78,2020-05-29
603355,C38,18.41,2.83,25.9,3.02,2020-05-29
603377,P82,57.22,5.68,95.58,18.62,2020-05-29
603379,C26,25.22,2.64,23.35,2.06,2020-05-29
603444,I64,31.63,8.54,34.64,4.24,2020-05-29
603486,C38,171.92,6.21,25.9,3.02,2020-05-29
603515,C38,24.87,4.11,25.9,3.02,2020-05-29
603517,C13,61.63,9.08,25.36,4.13,2020-05-29
603556,C40,14.8,1.36,28.74,2.76,2020-05-29
603568,N77,29.81,6.1,23.45,1.74,2020-05-29
603650,C26,34.55,4.34,23.35,2.06,2020-05-29
603659,C38,61.57,10.5,25.9,3.02,2020-05-29
603707,C27,68.01,14.14,43.1,4.17,2020-05-29
603712,C39,63.8,8.6,41.54,3.93,2020-05-29
603766,C37,13.44,1.01,30.04,1.79,2020-05-29
603806,C29,30.81,4.15,29.08,2.63,2020-05-29
603816,C21,24.07,4.63,25.99,3.34,2020-05-29
603858,C27,13.49,1.9,43.1,4.17,2020-05-29
603866,C14,43.74,8.41,45.97,6.56,2020-05-29
603868,C38,29.21,6.9,25.9,3.02,2020-05-29
603877,C18,15.06,2.03,16.64,1.58,2020-05-29
603882,Q83,78.71,13.92,98.33,10.32,2020-05-29
603883,F52,45.27,6.69,21.46,1.78,2020-05-29
603885,G56,174.93,1.75,37.33,1.54,2020-05-29
603888,I64,60.06,3.98,34.64,4.24,2020-05-29
603939,F52,71.17,8.87,21.46,1.78,2020-05-29
603983,C26,65.44,12.43,23.35,2.06,2020-05-29
6,K70,7.94,0.95,8.07,1.15,2020-05-29
8,C37,26.44,1.13,30.04,1.79,2020-05-29
9,S90,64.66,3.2,21.67,1.56,2020-05-29
12,C30,27.48,1.47,15.28,2.23,2020-05-29
21,C39,100.41,4.76,41.54,3.93,2020-05-29
25,F51,36.78,5.96,15.86,1.37,2020-05-29
27,D44,14.13,0.73,17.02,1.24,2020-05-29
28,F51,14.15,1.32,15.86,1.37,2020-05-29
31,K70,15.32,1.09,8.07,1.15,2020-05-29
39,C33,50.84,0.65,27.58,2.1,2020-05-29
50,C39,32.99,1.03,41.54,3.93,2020-05-29
60,C32,17.27,1.16,32.73,1.88,2020-05-29
61,L72,41.59,2.44,33.68,2.7,2020-05-29
62,F51,20,2.35,15.86,1.37,2020-05-29
66,C39,51.45,5.01,41.54,3.93,2020-05-29
78,F52,55.83,1.66,21.46,1.78,2020-05-29
89,G56,54.62,1.37,37.33,1.54,2020-05-29
90,E48,5.11,1.05,7.31,0.73,2020-05-29
156,R86,28.22,1.42,46.73,2.1,2020-05-29
158,I65,875.69,2.53,61.63,4.92,2020-05-29
301,C28,14.26,1.41,13.75,2.1,2020-05-29
400,C38,29.27,1.57,25.9,3.02,2020-05-29
401,C30,9.85,1.56,15.28,2.23,2020-05-29
402,K70,6.6,0.57,8.07,1.15,2020-05-29
426,B09,222.95,2.17,39.67,2.37,2020-05-29
488,C22,7.67,0.56,17.95,1.58,2020-05-29
501,F52,13.71,1.04,21.46,1.78,2020-05-29
513,C27,28.44,3.21,43.1,4.17,2020-05-29
519,C35,62.25,1.54,38.13,3.78,2020-05-29
528,C35,10.7,0.9,38.13,3.78,2020-05-29
536,C39,--,0.87,41.54,3.93,2020-05-29
537,K70,3.88,0.85,8.07,1.15,2020-05-29
543,D44,11.38,0.64,17.02,1.24,2020-05-29
547,C39,33.65,2.97,41.54,3.93,2020-05-29
553,C26,--,1,23.35,2.06,2020-05-29
